player_name,game_date,season,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Wheeler, Zack",2019-04-07,2019,2,7,2,96.9,2362,-0.93,1.14,6.8,1,0
"Wheeler, Zack",2019-04-07,2019,1,3,1,98.4,2428,-0.67,1.48,6.7,0,0
"Wheeler, Zack",2019-04-07,2019,1,2,5,97.8,2296,-1.24,1.51,7,2,2
"Wheeler, Zack",2019-04-07,2019,1,2,1,96.3,2238,-0.91,1.3,6.9,0,0
"Wheeler, Zack",2019-04-07,2019,1,1,4,97.6,2396,-1.09,1.43,6.6,3,0
"Wheeler, Zack",2019-04-07,2019,1,1,3,96.9,2210,-0.91,1.39,6.6,2,0
"Wheeler, Zack",2019-04-07,2019,1,1,1,96.7,2271,-0.92,1.39,6.6,0,0
"Alcantara, Sandy",2019-04-06,2019,4,34,3,97.8,2152,-0.6,1.14,5.6,0,2
"Alcantara, Sandy",2019-04-06,2019,4,34,2,95.6,2095,-0.33,1.07,5.8,0,1
"Alcantara, Sandy",2019-04-06,2019,4,34,1,95.9,2216,-0.66,1.14,5.6,0,0
"Alcantara, Sandy",2019-04-06,2019,4,33,5,96.4,2143,-0.55,1.1,5.3,0,2
"Alcantara, Sandy",2019-04-06,2019,4,33,3,96.6,2250,-0.53,1.22,5.8,0,2
"Alcantara, Sandy",2019-04-06,2019,4,33,1,96.3,2276,-0.6,1.09,5.8,0,0
"Alcantara, Sandy",2019-04-06,2019,4,31,2,95.2,2214,-0.52,1.13,5.7,0,1
"Alcantara, Sandy",2019-04-06,2019,4,31,1,94.5,2196,-0.54,1.1,5.5,0,0
"Alcantara, Sandy",2019-04-06,2019,4,28,7,96,2088,-0.6,1.22,5.7,3,2
"Alcantara, Sandy",2019-04-06,2019,3,24,3,95.6,2238,-0.62,1.16,5.5,1,1
"Alcantara, Sandy",2019-04-06,2019,3,22,4,93.9,2290,-0.33,1.14,5.4,2,1
"Alcantara, Sandy",2019-04-06,2019,3,22,1,94.5,2355,-0.71,1.43,5.6,0,0
"Alcantara, Sandy",2019-04-06,2019,3,21,3,95.9,2397,-0.55,1.23,5.6,1,1
"Alcantara, Sandy",2019-04-06,2019,3,20,5,96.7,2240,-0.5,1.31,5.8,1,2
"Alcantara, Sandy",2019-04-06,2019,3,20,4,97.6,2292,-0.38,1.4,5.6,1,2
"Alcantara, Sandy",2019-04-06,2019,2,15,1,94,2143,-0.59,0.97,5.7,0,0
"Alcantara, Sandy",2019-04-06,2019,2,12,1,94,2225,-0.59,1.17,5.5,0,0
"Alcantara, Sandy",2019-04-06,2019,1,8,1,95.5,2312,-0.92,1.28,6,0,0
