player_name,game_date,season,pitch_type,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Cole, Gerrit",2019-03-29,2019,SL,6,49,5,88.2,2777,0.52,-0.08,5.7,2,2
"Cole, Gerrit",2019-03-29,2019,CH,6,49,4,88.3,1705,-1.18,1.08,6.6,1,2
"Cole, Gerrit",2019-03-29,2019,SL,6,49,3,88.7,2677,0.31,0.31,5.8,1,1
"Cole, Gerrit",2019-03-29,2019,FF,6,49,2,97.4,2583,-0.94,1.51,6.3,0,1
"Cole, Gerrit",2019-03-29,2019,FF,6,49,1,95.8,2539,-0.67,1.72,6.3,0,0
"Cole, Gerrit",2019-03-29,2019,SL,6,48,2,86.7,2645,0.69,0.21,5.7,0,1
"Cole, Gerrit",2019-03-29,2019,KC,6,48,1,79,2848,1.09,-1.35,5.8,0,0
"Cole, Gerrit",2019-03-29,2019,SL,6,47,2,87.3,2763,0.53,-0.01,5.8,0,1
"Cole, Gerrit",2019-03-29,2019,SL,6,47,1,87.4,2605,0.58,0.11,5.8,0,0
"Cole, Gerrit",2019-03-29,2019,FF,6,46,3,95.5,2519,-0.82,1.58,6.4,2,0
"Cole, Gerrit",2019-03-29,2019,SL,6,46,2,87.3,2643,0.54,0.25,5.9,1,0
"Cole, Gerrit",2019-03-29,2019,FF,6,46,1,94.9,2580,-0.79,1.6,6.3,0,0
"Cole, Gerrit",2019-03-29,2019,CH,5,41,1,87.3,1718,-1.26,1.15,6.3,0,0
"Cole, Gerrit",2019-03-29,2019,CH,5,40,9,88.7,1790,-1.11,1.14,6.6,2,2
"Cole, Gerrit",2019-03-29,2019,CH,5,40,8,88.1,1839,-1.28,1.13,6.4,2,2
"Cole, Gerrit",2019-03-29,2019,SL,5,40,7,89.7,2806,0.44,0.24,6,2,2
"Cole, Gerrit",2019-03-29,2019,SL,5,40,6,88.3,2739,0.62,-0.14,5.8,2,2
"Cole, Gerrit",2019-03-29,2019,KC,5,40,5,83,2952,1.07,-1.29,5.9,1,2
"Cole, Gerrit",2019-03-29,2019,FF,5,40,4,98.2,2633,-0.93,1.54,6.5,0,2
"Cole, Gerrit",2019-03-29,2019,SL,5,40,3,86.9,2503,0.47,0.16,5.9,0,2
"Cole, Gerrit",2019-03-29,2019,KC,5,40,2,81.3,2847,0.82,-1.21,5.7,0,1
"Cole, Gerrit",2019-03-29,2019,SL,5,40,1,86.6,2620,0.46,0.52,5.8,0,0
"Cole, Gerrit",2019-03-29,2019,CH,5,39,4,88.4,1800,-1.13,1.42,6.5,1,2
"Cole, Gerrit",2019-03-29,2019,KC,5,39,3,82.2,2984,0.94,-1.27,5.7,1,1
"Cole, Gerrit",2019-03-29,2019,CH,5,39,2,88.3,1741,-1.18,1.34,6.5,0,1
"Cole, Gerrit",2019-03-29,2019,SL,5,39,1,88.5,2826,0.53,0.13,5.8,0,0
"Cole, Gerrit",2019-03-29,2019,SL,5,38,4,88.4,2623,0.48,0.15,5.9,1,2
"Cole, Gerrit",2019-03-29,2019,SL,5,38,3,88.3,2645,0.46,0.34,5.9,0,2
"Cole, Gerrit",2019-03-29,2019,SL,5,38,2,87.2,2645,0.44,0.08,5.8,0,1
"Cole, Gerrit",2019-03-29,2019,FF,5,38,1,94.4,2610,-1.04,1.86,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,SL,4,33,4,88.5,2722,0.68,0.45,5.9,1,2
"Cole, Gerrit",2019-03-29,2019,FF,4,33,3,97.7,2608,-1.03,1.83,6.1,0,2
"Cole, Gerrit",2019-03-29,2019,KC,4,33,2,81.2,2929,1.15,-1.39,5.7,0,1
"Cole, Gerrit",2019-03-29,2019,FF,4,33,1,95.8,2646,-0.87,1.92,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,SL,4,32,5,90.2,2509,0.31,0.34,5.9,1,2
"Cole, Gerrit",2019-03-29,2019,FF,4,32,4,98,2556,-1.04,1.62,6.4,1,2
"Cole, Gerrit",2019-03-29,2019,SL,4,32,3,88.8,2556,0.45,0.33,5.9,1,1
"Cole, Gerrit",2019-03-29,2019,CH,4,32,2,88.9,1852,-1.27,1.47,6.3,0,1
